"sigma_u","sim","n","ok_proreg","ok_tmb","g1_1_P","g1_2_P","g1_3_P","g1_1_T","g1_2_T","g1_3_T","sigma_P","sigma_T","time_P","time_T"
0.5,25,100,TRUE,TRUE,-1.28834946534129,2.63418247327659,0.791943537641027,-1.30797317262181,2.66058503571285,0.809840871671935,0.524027195098186,0.380520901333348,5.79300000000001,0.278999999999996
0.5,26,100,TRUE,TRUE,-1.17646687435754,1.55601606077542,0.940522770927807,-1.20264082423748,1.57256620616686,0.962324111819893,0.587508966864634,0.459482325650839,8.12599999999998,0.257000000000005
0.5,27,100,TRUE,TRUE,-1.17287008658537,2.82297315224232,0.840727536311297,-1.2342736008444,2.88428611153241,0.861915576996118,0.599929770122776,0.473780559762558,8.61099999999999,0.259000000000015
0.5,28,100,TRUE,TRUE,-1.33016779945215,1.5440221299269,0.732743967219432,-1.35023524209366,1.559057747188,0.738129346927546,0.472976107904022,0.315133458253752,1.94200000000001,0.269999999999982
0.5,29,100,TRUE,TRUE,-1.54259624564255,3.5468729887723,0.402261293922978,-1.59646102603577,3.61460140673501,0.418626205130961,0.656555854445517,0.490336558879816,9.80200000000002,0.25200000000001
0.5,30,100,TRUE,TRUE,-1.53007826282604,1.46441244409578,0.492407820868973,-1.53009877339832,1.4693181365357,0.484748454912302,0.287965778685605,0.087565682018795,15.818,0.276999999999987
1,1,100,TRUE,TRUE,-1.01374298963127,2.33522534970488,0.5552418590467,-1.07532948278311,2.45691367721988,0.580864626389224,0.876612991717939,0.764295765387389,8.12099999999998,0.269999999999982
1,2,100,TRUE,TRUE,-1.31868342338936,2.15486270579217,-1.20594586589827,-1.39443641193946,2.29502885960473,-1.24856884756022,1.04253186519391,0.91448690791507,8.50599999999997,0.26400000000001
1,3,100,TRUE,TRUE,-1.32414094272917,2.12278210557311,0.158072123677109,-1.3869683626046,2.24454370060304,0.164974312103337,1.02782467512884,0.894718503021519,9.05699999999996,0.259000000000015
1,4,100,TRUE,TRUE,-1.3889478774835,4.07618056451526,0.539339145453167,-1.51202177208739,4.35652898339927,0.586545914463677,1.10823214707346,1.02862183779626,8.49200000000002,0.300999999999988
1,5,100,TRUE,TRUE,-0.997483897678394,2.8490945622076,0.694675828521868,-1.11781135359079,3.02198341086069,0.753494760946295,1.2847804593158,1.17841009890708,8.48600000000005,0.30699999999996
1,6,100,TRUE,TRUE,-1.86341411745491,2.64807493610781,-0.801823587261386,-2.01034071031121,2.84736086774274,-0.867224183621755,1.06276790554502,0.986575877126413,7.93900000000002,0.268000000000029
1,7,100,TRUE,TRUE,-1.04995462328383,3.32558377591864,0.967756286320561,-1.12449464438403,3.56492595020667,1.00986888968034,1.06108184972973,0.98262048696052,8.697,0.290999999999997
1,8,100,TRUE,TRUE,-1.63921524340393,1.02959474551313,-0.806183282039132,-1.7486070701724,1.0792184059648,-0.842048702498427,0.964764698696848,0.847150523654712,8.96699999999998,0.266999999999996
1,9,100,TRUE,TRUE,-2.63708526061232,2.45182298493249,-0.117774026471483,-2.86847037074491,2.61281339576202,-0.161531072662416,1.11371986846155,1.03993438559264,8.57900000000001,0.283999999999992
1,10,100,TRUE,TRUE,-1.70560200093085,2.31159477365863,-0.423201987600539,-1.76382717391162,2.44099860791989,-0.449419540505878,0.921300991258189,0.777351821791613,9.24700000000001,0.29000000000002
1,11,100,TRUE,TRUE,-1.61100801452105,3.46492628221483,-0.284427385685355,-1.72763255214013,3.63618544179888,-0.294466427835852,1.06568419345896,0.933001250090133,8.18099999999998,0.28000000000003
1,12,100,TRUE,TRUE,-1.10130964829234,2.84445060258341,0.845857720479344,-1.13989312015733,2.94294523027084,0.86190444950194,1.07444866832921,0.906932268200005,9.61000000000001,0.308999999999969
1,13,100,TRUE,TRUE,-1.38249092658114,2.23607186605593,0.204112192236175,-1.47253742159347,2.32022576029555,0.217871075015811,1.13335492059108,1.0247351216005,8.76499999999999,0.262
1,14,100,TRUE,TRUE,-2.76952066982746,1.92002312450045,-2.03270960471622,-2.95681777917895,2.04244699945159,-2.14156931445183,0.928480826914293,0.816953076970448,7.88,0.281999999999982
1,15,100,TRUE,TRUE,-1.00261358069899,2.47763447136888,0.478649421693366,-1.10421455421834,2.57696994067264,0.515752772493156,0.995503224860349,0.870556040192083,8.90299999999996,0.25
1,16,100,TRUE,TRUE,-1.7053939973828,2.81745995826463,-0.498671781607914,-1.86336932798543,3.01027848575598,-0.548759784896838,1.16082843481676,1.05978455744833,8.83300000000003,0.285000000000025
1,17,100,TRUE,TRUE,-1.04557588270524,2.76240741529511,0.0545540963231909,-1.14312604615859,2.90611731357954,0.0527242047098621,1.01727723074684,0.906637051036765,8.702,0.317999999999984
1,18,100,TRUE,TRUE,-0.99941775554415,2.1476688125745,0.269138502080729,-1.0459963768186,2.26674524495338,0.266692250935422,0.860199683203994,0.716482846215474,9.10699999999997,0.269000000000005
