"tag","scenario","phi","alpha_true","N","sim","ok_proreg","ok_tmb","alpha_proreg","alpha_tmb","se_proreg","se_tmb","time_proreg","time_tmb","time_bbmm_proreg","time_bbmm_tmb"
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,80,3,TRUE,TRUE,0.050002061739123,0.0575352715919306,0.0245801634009203,0.0327296500780913,16.327,0.335000000000008,16.236,0.245000000000005
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,80,4,TRUE,TRUE,0.0709465273266382,0.0724178178069051,0.0204618850467353,0.0214523994275409,14.122,0.295999999999992,14.039,0.213999999999999
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,80,5,TRUE,TRUE,0.0868761603694301,0.0908297664623177,0.0253591963706267,0.0267341927728305,14.472,0.353999999999985,14.38,0.260999999999996
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,80,6,TRUE,TRUE,0.00751928398072141,0.00211821530564246,0.021330474321402,0.0226836673853411,12.799,0.331999999999994,12.714,0.24799999999999
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,80,7,TRUE,TRUE,0.0410116572644312,0.0559325293244832,0.0243971189973825,0.0292649189555423,15.085,0.245000000000005,15.001,0.161000000000001
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,80,8,TRUE,TRUE,0.061288648782855,0.0642516235968637,0.0303743451565443,0.0332810428811362,15.538,0.310000000000002,15.453,0.224999999999994
"Sc2_phi0.5_alpha-0.1",2,0.5,-0.1,80,1,TRUE,TRUE,-0.0714032678533735,-0.0776841666654981,0.0711909635858929,0.075569077543854,11.231,0.323000000000008,11.103,0.192999999999984
"Sc2_phi0.5_alpha-0.1",2,0.5,-0.1,80,2,TRUE,TRUE,-0.138145432947436,-0.117342200804482,0.0674505497499445,0.0766504413143332,10.339,0.349999999999994,10.203,0.217999999999989
"Sc2_phi0.5_alpha-0.1",2,0.5,-0.1,80,3,TRUE,TRUE,-0.101821887294682,-0.0809963101678732,0.0676156768511539,0.0705221935999701,10.28,0.440999999999974,10.148,0.311999999999983
"Sc2_phi0.5_alpha-0.1",2,0.5,-0.1,80,4,TRUE,TRUE,-0.266697554288784,-0.272469833483256,0.1021113296934,0.11017947967575,10.947,0.394000000000005,10.827,0.274999999999977
"Sc2_phi0.5_alpha-0.1",2,0.5,-0.1,80,5,TRUE,TRUE,0.0442255425512753,0.0450897526447811,0.0690933217795107,0.0775635661663059,12.291,0.30600000000004,12.164,0.180000000000007
"Sc2_phi0.5_alpha-0.1",2,0.5,-0.1,80,6,TRUE,TRUE,-0.0967675348739936,-0.112699698799586,0.0620801257732567,0.0683240712446259,13.916,0.340000000000032,13.796,0.222000000000037
"Sc2_phi0.5_alpha-0.1",2,0.5,-0.1,80,7,TRUE,TRUE,0.017523414524868,0.0176196803545367,0.07459833384715,0.077690483082707,20.646,0.407999999999959,20.521,0.286999999999978
"Sc2_phi0.5_alpha-0.1",2,0.5,-0.1,80,8,TRUE,TRUE,-0.0707635001453638,-0.112572915041572,0.0678260093201045,0.0765835716725655,10.449,0.33499999999998,10.325,0.20999999999998
"Sc2_phi1_alpha-0.15",2,1,-0.15,80,1,TRUE,TRUE,-0.158185747084335,-0.214922696228804,0.0726974538023148,0.0875148507739912,16.231,0.394999999999982,16.112,0.276999999999987
"Sc2_phi1_alpha-0.15",2,1,-0.15,80,2,TRUE,TRUE,-0.176480961617823,-0.190391830712642,0.0676340279648898,0.0772608773062923,10.01,0.424000000000035,9.87900000000002,0.296000000000049
"Sc2_phi1_alpha-0.15",2,1,-0.15,80,3,TRUE,TRUE,-0.0960968549067972,-0.10781302732169,0.0664535072228721,0.0737811657607739,11.791,0.394000000000005,11.653,0.25200000000001
"Sc2_phi1_alpha-0.15",2,1,-0.15,80,4,TRUE,TRUE,-0.098527860408091,-0.0975120128117555,0.0597154424319037,0.0705242295259437,14.367,0.394000000000005,14.234,0.258000000000038
"Sc2_phi1_alpha-0.15",2,1,-0.15,80,5,TRUE,TRUE,-0.253927383256768,-0.294326123312708,0.0746713259908701,0.0847246833802481,11.365,0.48399999999998,11.226,0.346000000000004
"Sc2_phi1_alpha-0.15",2,1,-0.15,80,6,TRUE,TRUE,-0.205583144275654,-0.225743509235746,0.0730133748213227,0.0815081600591436,14.703,0.461999999999989,14.563,0.317999999999984
