"sigma_u","engine","param","true","n_ok","mean","bias","pct_bias","RMSE","ESD","ASD","CP95","time_mean"
0.5,"PROregTMB","phi_3",1.5,30,1.53610839657727,0.0361083965772662,0.0240722643848441,0.372474942037464,0.377058167298698,NA,NA,0.286800000000003
0.5,"PROregTMB","sigma",0.5,30,0.420286868561724,-0.0797131314382765,-0.159426262876553,0.225364174916408,0.214399308442796,NA,NA,0.286800000000003
1,"PROreg","g0_1",1,30,0.958916864002576,-0.0410831359974237,-0.0410831359974237,0.299082929413428,0.301312258588423,0.267649469587758,90,8.817
1,"PROreg","g1_1",-1.5,30,-1.48736719011537,0.0126328098846311,-0.00842187325642074,0.555692827684947,0.565046471254793,0.462892545003571,86.6666666666667,8.817
1,"PROreg","phi_1",0.5,30,0.486636751910967,-0.0133632480890332,-0.0267264961780664,0.100495717668281,0.101306020875844,NA,NA,8.817
1,"PROreg","g0_2",-2,30,-1.91358946646803,0.086410533531972,-0.043205266765986,0.342158350541117,0.33672697915282,0.375700435488512,96.6666666666667,8.817
1,"PROreg","g1_2",2.5,30,2.3325374735407,-0.167462526459297,-0.0669850105837188,0.673197258354731,0.663182648338114,0.62400771411557,90,8.817
1,"PROreg","phi_2",1,30,0.948474152038694,-0.051525847961306,-0.051525847961306,0.172526514102744,0.16746739793983,NA,NA,8.817
1,"PROreg","g0_3",0.5,30,0.686243501000357,0.186243501000357,0.372487002000714,0.443725735571656,0.409632998161984,0.397062551302366,90,8.817
1,"PROreg","g1_3",0.5,30,0.0925571193308745,-0.407442880669125,-0.814885761338251,0.858663021379479,0.768760186325503,0.69497741772331,90,8.817
1,"PROreg","phi_3",1.5,30,1.39401519588259,-0.105984804117412,-0.0706565360782746,0.394996659149274,0.38701721698575,NA,NA,8.817
1,"PROreg","sigma",1,30,1.08829665206799,0.0882966520679866,0.0882966520679866,0.166102655030053,0.143095554914037,NA,NA,8.817
1,"PROregTMB","g0_1",1,30,1.03461308396963,0.0346130839696295,0.0346130839696295,0.324141565841591,0.327797807409432,0.343602821768203,93.3333333333333,0.285
1,"PROregTMB","g1_1",-1.5,30,-1.6024143075239,-0.1024143075239,0.0682762050159331,0.615099737372568,0.616882314152385,0.593764341594405,93.3333333333333,0.285
1,"PROregTMB","phi_1",0.5,30,0.536135846146112,0.0361358461461122,0.0722716922922244,0.116270785624702,0.112402123920401,NA,NA,0.285
1,"PROregTMB","g0_2",-2,30,-2.0305458948425,-0.0305458948425033,0.0152729474212516,0.348670164891667,0.353267260642586,0.431062052538331,100,0.285
1,"PROregTMB","g1_2",2.5,30,2.47292897837428,-0.0270710216257166,-0.0108284086502866,0.68957723465727,0.70082507213779,0.714838361074516,90,0.285
1,"PROregTMB","phi_2",1,30,0.98729774504633,-0.0127022549536695,-0.0127022549536695,0.177106484324348,0.17967027129839,NA,NA,0.285
1,"PROregTMB","g0_3",0.5,30,0.729626844648914,0.229626844648914,0.459253689297828,0.481668481035216,0.430648313799838,0.434358148708655,83.3333333333333,0.285
1,"PROregTMB","g1_3",0.5,30,0.0942594182189724,-0.405740581781028,-0.811481163562055,0.893959792338473,0.810197096463425,0.756954552070615,93.3333333333333,0.285
1,"PROregTMB","phi_3",1.5,30,1.43240409734364,-0.0675959026563633,-0.0450639351042422,0.395307110860766,0.396143268024584,NA,NA,0.285
