"tag","scenario","phi","alpha_true","N","sim","ok_tsbb","ok_bbjm","alpha_tsbb","se_tsbb","alpha_bbjm","se_bbjm","beta0_tsbb","beta0_bbjm","beta1_tsbb","beta1_bbjm","phi_tsbb","phi_bbjm","time_tsbb","time_bbjm"
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,9,TRUE,TRUE,0.0391297566229508,0.0281868932714394,0.047248035666863,0.0323199188273494,-0.123097172140738,-0.126761676073261,-0.117090921099543,-0.0854071882018482,0.571125514786308,0.570282612377076,0.346000000000004,1.196
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,10,TRUE,TRUE,0.0492250797819161,0.0216703026877483,0.0523877895550878,0.0229470927850362,-0.0737270645059014,-0.0941931607320282,-0.1158369246987,-0.0384154643689458,0.553587584939566,0.545809922450633,0.319999999999993,1.128
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,11,TRUE,TRUE,0.0522839514107025,0.0202564156655672,0.0675131823144135,0.0230707339661824,-0.117213848808762,-0.106007482802874,-0.0671549181025131,-0.019064748167596,0.434945350973246,0.437561552153589,0.325000000000003,1.44199999999999
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,12,TRUE,TRUE,0.0614045788116786,0.027763485579325,0.0660126535698162,0.0315314619317444,0.055696714567002,0.0419326854924635,-0.0122688165177873,0.0364298123531042,0.568971971382537,0.563146409770469,0.301000000000002,1.474
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,13,TRUE,TRUE,0.0679203081854849,0.0296721002664573,0.070853372772587,0.032887705443031,0.0528963882148358,0.0366070301038411,-0.108087900960278,-0.0578829568073432,0.686761081410023,0.681638868100406,0.350000000000009,1.31699999999999
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,14,TRUE,TRUE,0.0206584626844647,0.0227776671611567,0.0232563532512526,0.0274888006303041,-0.396307188456206,-0.404925371202846,0.10688476618776,0.13665986528943,0.475892931745827,0.477142468003256,0.225000000000009,1.13699999999999
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,15,TRUE,TRUE,0.0213343600255495,0.0216963256164256,0.0189135971738025,0.0231087803823701,-0.0340558025348175,-0.0348751452929102,-0.0560621968890751,-0.0395586604272586,0.619237779085476,0.61903409732649,0.304999999999993,1.432
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,16,TRUE,TRUE,0.0110641857951566,0.0274665397613657,0.0111822921479611,0.0309849674183156,-0.0574645038027393,-0.0606835823863416,0.017744012468268,0.0316520440594781,0.587160744222287,0.585595220250433,0.203000000000003,1.04300000000002
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,17,TRUE,TRUE,0.0539809338819282,0.0280219034175252,0.0717647652249821,0.0326972000206359,-0.16159269991307,-0.148397122257352,0.0442684462019386,0.0719995287733973,0.520037676730222,0.517117927701522,0.324999999999989,1.30699999999999
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,18,TRUE,TRUE,0.0795465889966916,0.0291819528564022,0.080590116189612,0.0358983811278782,0.0370819142267324,0.00709143767988048,-0.00840755236255785,0.0823391576203435,0.640804721919378,0.630850132661754,0.287999999999982,1.23600000000002
